2024-01-22 09:01:13,472 INFO    StreamThr :3627130 [internal.py:wandb_internal():86] W&B internal server running at pid: 3627130, started at: 2024-01-22 09:01:13.471828
2024-01-22 09:01:13,473 DEBUG   HandlerThread:3627130 [handler.py:handle_request():144] handle_request: status
2024-01-22 09:01:13,484 INFO    WriterThread:3627130 [datastore.py:open_for_write():85] open: /workspace/UPRTH/wandb/run-20240122_090113-e8ni1hkg/run-e8ni1hkg.wandb
2024-01-22 09:01:13,485 DEBUG   SenderThread:3627130 [sender.py:send():379] send: header
2024-01-22 09:01:13,485 DEBUG   SenderThread:3627130 [sender.py:send():379] send: run
2024-01-22 09:01:14,357 INFO    SenderThread:3627130 [dir_watcher.py:__init__():211] watching files in: /workspace/UPRTH/wandb/run-20240122_090113-e8ni1hkg/files
2024-01-22 09:01:14,357 INFO    SenderThread:3627130 [sender.py:_start_run_threads():1121] run started: e8ni1hkg with start time 1705914073.471367
2024-01-22 09:01:14,358 DEBUG   SenderThread:3627130 [sender.py:send_request():406] send_request: summary_record
2024-01-22 09:01:14,358 INFO    SenderThread:3627130 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2024-01-22 09:01:14,365 DEBUG   HandlerThread:3627130 [handler.py:handle_request():144] handle_request: check_version
2024-01-22 09:01:14,365 DEBUG   SenderThread:3627130 [sender.py:send_request():406] send_request: check_version
2024-01-22 09:01:15,146 DEBUG   HandlerThread:3627130 [handler.py:handle_request():144] handle_request: run_start
2024-01-22 09:01:15,173 DEBUG   HandlerThread:3627130 [system_info.py:__init__():31] System info init
2024-01-22 09:01:15,173 DEBUG   HandlerThread:3627130 [system_info.py:__init__():46] System info init done
2024-01-22 09:01:15,173 INFO    HandlerThread:3627130 [system_monitor.py:start():181] Starting system monitor
2024-01-22 09:01:15,174 INFO    SystemMonitor:3627130 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-01-22 09:01:15,174 INFO    HandlerThread:3627130 [system_monitor.py:probe():201] Collecting system info
2024-01-22 09:01:15,174 INFO    SystemMonitor:3627130 [interfaces.py:start():190] Started cpu monitoring
2024-01-22 09:01:15,175 INFO    SystemMonitor:3627130 [interfaces.py:start():190] Started disk monitoring
2024-01-22 09:01:15,175 INFO    SystemMonitor:3627130 [interfaces.py:start():190] Started gpu monitoring
2024-01-22 09:01:15,176 INFO    SystemMonitor:3627130 [interfaces.py:start():190] Started memory monitoring
2024-01-22 09:01:15,177 INFO    SystemMonitor:3627130 [interfaces.py:start():190] Started network monitoring
2024-01-22 09:01:15,258 DEBUG   HandlerThread:3627130 [system_info.py:probe():195] Probing system
2024-01-22 09:01:15,260 DEBUG   HandlerThread:3627130 [gitlib.py:_init_repo():53] git repository is invalid
2024-01-22 09:01:15,260 DEBUG   HandlerThread:3627130 [system_info.py:probe():240] Probing system done
